_id,type,value,unit,location,deviceId,timestamp,receivedAt
6a30c5f717ae2e664af0bcf1,amplitude,58.82,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:41:43.384Z,2026-06-16T03:41:43.535Z
6a30c5fc4633ea0cb6381281,amplitude,59.62,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:41:48.056Z,2026-06-16T03:41:48.176Z
6a30c7f2ffdab552d5509c92,amplitude,61.38,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:10.598Z,2026-06-16T03:50:10.799Z
6a30c7f7ffdab552d5509c95,amplitude,61.81,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:15.544Z,2026-06-16T03:50:15.721Z
6a30c7fcffdab552d5509c98,amplitude,61.5,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:20.548Z,2026-06-16T03:50:20.696Z
6a30c801ffdab552d5509c9b,amplitude,63.68,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:25.610Z,2026-06-16T03:50:25.847Z
6a30c806ffdab552d5509c9e,amplitude,59.46,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:30.562Z,2026-06-16T03:50:30.737Z
6a30c80bffdab552d5509ca1,amplitude,61.48,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:35.575Z,2026-06-16T03:50:35.781Z
6a30c810ffdab552d5509ca4,amplitude,61.05,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:40.570Z,2026-06-16T03:50:40.717Z
6a30c815ffdab552d5509ca7,amplitude,60.18,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:45.608Z,2026-06-16T03:50:45.780Z
6a30c81affdab552d5509caa,amplitude,60.44,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:50.594Z,2026-06-16T03:50:50.786Z
6a30c81fffdab552d5509cad,amplitude,58.6,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:50:55.597Z,2026-06-16T03:50:55.779Z
6a30c824ffdab552d5509cb0,amplitude,59.97,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:00.604Z,2026-06-16T03:51:00.790Z
6a30c829ffdab552d5509cb3,amplitude,60.2,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:05.635Z,2026-06-16T03:51:05.801Z
6a30c82effdab552d5509cb6,amplitude,60.07,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:10.620Z,2026-06-16T03:51:10.787Z
6a30c833ffdab552d5509cb9,amplitude,59.97,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:15.641Z,2026-06-16T03:51:15.821Z
6a30c838ffdab552d5509cbc,amplitude,59.24,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:20.631Z,2026-06-16T03:51:20.799Z
6a30c83dffdab552d5509cbf,amplitude,58.74,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:25.641Z,2026-06-16T03:51:25.793Z
6a30c842ffdab552d5509cc2,amplitude,60.89,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:30.657Z,2026-06-16T03:51:30.844Z
6a30c847ffdab552d5509cc5,amplitude,59.95,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:35.653Z,2026-06-16T03:51:35.846Z
6a30c84dffdab552d5509cc8,amplitude,62.35,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:40.657Z,2026-06-16T03:51:41.057Z
6a30c851ffdab552d5509ccb,amplitude,66.96,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:45.665Z,2026-06-16T03:51:45.864Z
6a30c856ffdab552d5509cce,amplitude,60.2,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:50.666Z,2026-06-16T03:51:50.859Z
6a30c85bffdab552d5509cd1,amplitude,60.13,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:51:55.666Z,2026-06-16T03:51:55.834Z
6a30c860ffdab552d5509cd4,amplitude,58.6,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:00.697Z,2026-06-16T03:52:00.868Z
6a30c865ffdab552d5509cd7,amplitude,60.18,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:05.714Z,2026-06-16T03:52:05.904Z
6a30c86affdab552d5509cda,amplitude,61.6,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:10.710Z,2026-06-16T03:52:10.863Z
6a30c86fffdab552d5509cdd,amplitude,60,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:15.727Z,2026-06-16T03:52:15.920Z
6a30c874ffdab552d5509ce0,amplitude,61.76,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:20.745Z,2026-06-16T03:52:20.958Z
6a30c879ffdab552d5509ce3,amplitude,63.62,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:25.749Z,2026-06-16T03:52:25.977Z
6a30c87effdab552d5509ce6,amplitude,70.33,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:30.767Z,2026-06-16T03:52:30.984Z
6a30c884ffdab552d5509ce9,amplitude,58.34,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:35.765Z,2026-06-16T03:52:36.004Z
6a30c889ffdab552d5509cec,amplitude,56.97,dB,auberge-gaspesie,6a2d09e3b36c2f20de8ad53f,2026-06-16T03:52:40.767Z,2026-06-16T03:52:41.021Z
